      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1692.023968  CALL     test_with_pymemtrace.py# 143 _test_new_set_bytes                1557458944   1557458944
PREV: 3162495      +3162495 1699.501344  C_CALL   test_with_pymemtrace.py# 160 add                                1628508160            0
NEXT: 3162496      +3162496 1699.506000  C_RETURN test_with_pymemtrace.py# 160 add                                1633587200      5079040
PREV: 12600213     +9437717 1723.660546  C_CALL   test_with_pymemtrace.py# 160 add                                2347655168            0
NEXT: 12600214     +9437718 1723.674572  C_RETURN test_with_pymemtrace.py# 160 add                                2381209600     33554432
PREV: 20988885     +8388671 1743.426423  C_CALL   test_with_pymemtrace.py# 167 new_set_bytes                      3028099072            0
NEXT: 20988886     +8388672 1747.186941  C_RETURN test_with_pymemtrace.py# 167 new_set_bytes                      3553308672    525209600
NEXT: 20988887     +1      1747.772236  C_CALL   test_with_pymemtrace.py# 168 perf_counter                       2170421248  -1382887424
PREV: 20988890     +3      1747.772263  C_RETURN test_with_pymemtrace.py# 169 append                             2170421248            0
NEXT: 20988891     +4      1748.452382  C_CALL   test_with_pymemtrace.py# 160 add                                1050578944  -1119842304
PREV: 21087189     +98298  1748.655674  C_CALL   test_with_pymemtrace.py# 160 add                                1050640384            0
NEXT: 21087190     +98299  1748.655894  C_RETURN test_with_pymemtrace.py# 160 add                                1051164672       524288
PREV: 21382027     +294837 1749.384712  C_CALL   test_with_pymemtrace.py# 160 add                                1051164672            0
NEXT: 21382028     +294838 1749.385550  C_RETURN test_with_pymemtrace.py# 160 add                                1052753920      1589248
PREV: 22561819     +1179791 1752.240893  C_CALL   test_with_pymemtrace.py# 160 add                                1052753920            0
NEXT: 22561820     +1179792 1752.241720  C_RETURN test_with_pymemtrace.py# 160 add                                1053065216       311296
PREV: 24134625     +1572805 1755.957808  C_CALL   test_with_pymemtrace.py# 160 add                                1146507264            0
NEXT: 24134626     +1572806 1755.960845  C_RETURN test_with_pymemtrace.py# 160 add                                1150717952      4210688
PREV: 41959157     +17824531 1797.958465  C_CALL   test_with_pymemtrace.py# 167 new_set_bytes                      2508664832            0
NEXT: 41959158     +17824532 1801.329918  C_RETURN test_with_pymemtrace.py# 167 new_set_bytes                      3868581888   1359917056
NEXT: 41959159     +1      1801.987105  C_CALL   test_with_pymemtrace.py# 168 perf_counter                       2861379584  -1007202304
PREV: 41959162     +3      1801.987127  C_RETURN test_with_pymemtrace.py# 169 append                             2861379584            0
NEXT: 41959163     +4      1802.469732  C_CALL   test_with_pymemtrace.py# 160 add                                1073864704  -1787514880
PREV: 62929815     +20970652 1851.877883  C_CALL   test_with_pymemtrace.py# 167 new_set_bytes                      2525257728            0
NEXT: 62929816     +20970653 1855.015006  C_RETURN test_with_pymemtrace.py# 167 new_set_bytes                      4678582272   2153324544
NEXT: 62929817     +1      1855.395481  C_CALL   test_with_pymemtrace.py# 168 perf_counter                       2816319488  -1862262784
PREV: 62929820     +3      1855.395501  C_RETURN test_with_pymemtrace.py# 169 append                             2816319488            0
NEXT: 62929821     +4      1855.780478  C_CALL   test_with_pymemtrace.py# 160 add                                1094127616  -1722191872
PREV: 64504601     +1574780 1859.509648  C_CALL   test_with_pymemtrace.py# 160 add                                1094127616            0
NEXT: 64504602     +1574781 1859.511675  C_RETURN test_with_pymemtrace.py# 160 add                                1098305536      4177920
PREV: 66077407     +1572805 1863.183688  C_CALL   test_with_pymemtrace.py# 160 add                                1183408128            0
