      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1636.043018  CALL     test_with_pymemtrace.py#  64 _test_new_list_double              1411416064   1411416064
PREV: 57           +57     1636.043174  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1411416064            0
NEXT: 58           +58     1637.048855  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         1628090368    216674304
PREV: 61           +3      1637.048882  C_CALL   test_with_pymemtrace.py#  73 new_list_vector_float              1628090368            0
NEXT: 62           +4      1637.459813  C_RETURN test_with_pymemtrace.py#  73 new_list_vector_float              2211921920    583831552
NEXT: 63           +1      1637.577896  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1875329024   -336592896
PREV: 67           +4      1637.577924  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1875329024            0
NEXT: 68           +5      1638.580851  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2132729856    257400832
NEXT: 69           +1      1638.682025  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1755242496   -377487360
PREV: 71           +2      1638.682039  C_CALL   test_with_pymemtrace.py#  73 new_list_vector_float              1755242496            0
NEXT: 72           +3      1639.076746  C_RETURN test_with_pymemtrace.py#  73 new_list_vector_float              2211921920    456679424
NEXT: 73           +1      1639.199549  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1918320640   -293601280
PREV: 77           +4      1639.199574  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1918320640            0
NEXT: 78           +5      1640.180810  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2132729856    214409216
NEXT: 79           +1      1640.299370  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1714348032   -418381824
PREV: 81           +2      1640.299382  C_CALL   test_with_pymemtrace.py#  73 new_list_vector_float              1714348032            0
NEXT: 82           +3      1640.683811  C_RETURN test_with_pymemtrace.py#  73 new_list_vector_float              2211921920    497573888
NEXT: 83           +1      1640.782749  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1877426176   -334495744
PREV: 87           +4      1640.782771  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1877426176            0
NEXT: 88           +5      1641.790230  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2132729856    255303680
NEXT: 89           +1      1641.905871  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1757339648   -375390208
