/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.242 now:     21.328 diff:    +16.086 Peak was:      5.242 now:     21.328 diff:    +16.086 test_perf_py_tuple_to_vector<bool>
RSS(Mb): was:     21.328 now:     17.492 diff:     -3.836 Peak was:     21.328 now:     61.934 diff:    +40.605 test_perf_py_tuple_to_vector<long>
RSS(Mb): was:     17.492 now:     17.754 diff:     +0.262 Peak was:     61.934 now:     61.945 diff:     +0.012 test_perf_py_tuple_to_vector<double>
====RSS(Mb): was:      5.242 now:     17.754 diff:    +12.512 Peak was:      5.242 now:     61.945 diff:    +56.703 ==== test_performance.cpp
Number of tests: 60
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0     512       1     0.000006130             N/A             N/A             N/A         1      163145.4 test_py_tuple_to_vector<double>
TEST:    0    1024       1     0.000010276             N/A             N/A             N/A         1       97318.9 test_py_tuple_to_vector<double>
TEST:    0    2048       1     0.000018877             N/A             N/A             N/A         1       52975.9 test_py_tuple_to_vector<double>
TEST:    0    4096       1     0.000036910             N/A             N/A             N/A         1       27093.3 test_py_tuple_to_vector<double>
TEST:    0    8192       1     0.000098693             N/A             N/A             N/A         1       10132.5 test_py_tuple_to_vector<double>
TEST:    0   16384       1     0.000194712             N/A             N/A             N/A         1        5135.8 test_py_tuple_to_vector<double>
TEST:    0   32768       1     0.000284027             N/A             N/A             N/A         1        3520.8 test_py_tuple_to_vector<double>
TEST:    0   65536       1     0.000764736             N/A             N/A             N/A         1        1307.6 test_py_tuple_to_vector<double>
TEST:    0  131072       1     0.001665197             N/A             N/A             N/A         1         600.5 test_py_tuple_to_vector<double>
TEST:    0  262144       1     0.003550874             N/A             N/A             N/A         1         281.6 test_py_tuple_to_vector<double>
TEST:    0  524288       1     0.007244248             N/A             N/A             N/A         1         138.0 test_py_tuple_to_vector<double>
TEST:    0 1048576       1     0.017798897             N/A             N/A             N/A         1          56.2 test_py_tuple_to_vector<double>
TAIL: Passed=60/60 Failed=0/60

Count of unique strings: 0
====RSS(Mb): was:      5.238 now:     16.547 diff:    +11.309 Peak was:      5.238 now:     61.945 diff:    +56.707 main.cpp
Total execution time: 0.304 (s)
Bye, bye!

Process finished with exit code 0
