/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.230 now:    182.867 diff:   +177.637 Peak was:      5.230 now:   8191.242 diff:  +8186.012 test_perf_py_tuple_string_to_vector
====RSS(Mb): was:      5.230 now:    182.895 diff:   +177.664 Peak was:      5.230 now:   8191.242 diff:  +8186.012 ==== test_performance.cpp
Number of tests: 200
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0       8       1     0.000000948             N/A             N/A             N/A         1     1055409.0 test_py_tuple_string_to_vector<std::string[32]>():[8]
TEST:    0      16       1     0.000001716             N/A             N/A             N/A         1      582580.8 test_py_tuple_string_to_vector<std::string[32]>():[16]
TEST:    0      32       1     0.000002753             N/A             N/A             N/A         1      363174.1 test_py_tuple_string_to_vector<std::string[32]>():[32]
TEST:    0      64       1     0.000005659             N/A             N/A             N/A         1      176694.1 test_py_tuple_string_to_vector<std::string[32]>():[64]
TEST:    0     128       1     0.000012532             N/A             N/A             N/A         1       79798.9 test_py_tuple_string_to_vector<std::string[32]>():[128]
TEST:    0     256       1     0.000018578             N/A             N/A             N/A         1       53825.7 test_py_tuple_string_to_vector<std::string[32]>():[256]
TEST:    0     512       1     0.000037073             N/A             N/A             N/A         1       26973.4 test_py_tuple_string_to_vector<std::string[32]>():[512]
TEST:    0    1024       1     0.000070739             N/A             N/A             N/A         1       14136.4 test_py_tuple_string_to_vector<std::string[32]>():[1024]
TEST:    0    2048       1     0.000176640             N/A             N/A             N/A         1        5661.2 test_py_tuple_string_to_vector<std::string[32]>():[2048]
TEST:    0    4096       1     0.000324514             N/A             N/A             N/A         1        3081.5 test_py_tuple_string_to_vector<std::string[32]>():[4096]
TEST:    0    8192       1     0.000575518             N/A             N/A             N/A         1        1737.6 test_py_tuple_string_to_vector<std::string[32]>():[8192]
TEST:    0   16384       1     0.001248618             N/A             N/A             N/A         1         800.9 test_py_tuple_string_to_vector<std::string[32]>():[16384]
TEST:    0   32768       1     0.002494580             N/A             N/A             N/A         1         400.9 test_py_tuple_string_to_vector<std::string[32]>():[32768]
TEST:    0   65536       1     0.005659936             N/A             N/A             N/A         1         176.7 test_py_tuple_string_to_vector<std::string[32]>():[65536]
TEST:    0  131072       1     0.010673610             N/A             N/A             N/A         1          93.7 test_py_tuple_string_to_vector<std::string[32]>():[131072]
TEST:    0  262144       1     0.023321748             N/A             N/A             N/A         1          42.9 test_py_tuple_string_to_vector<std::string[32]>():[262144]
TEST:    0  524288       1     0.047737771             N/A             N/A             N/A         1          20.9 test_py_tuple_string_to_vector<std::string[32]>():[524288]
TEST:    0 1048576       1     0.103832425             N/A             N/A             N/A         1           9.6 test_py_tuple_string_to_vector<std::string[32]>():[1048576]
TEST:    0       2       1     0.000000797             N/A             N/A             N/A         1     1253918.5 test_py_tuple_string_to_vector<std::string[64]>():[2]
TEST:    0       4       1     0.000000794             N/A             N/A             N/A         1     1258653.2 test_py_tuple_string_to_vector<std::string[64]>():[4]
TEST:    0       8       1     0.000001261             N/A             N/A             N/A         1      793336.0 test_py_tuple_string_to_vector<std::string[64]>():[8]
TEST:    0      16       1     0.000001980             N/A             N/A             N/A         1      504923.0 test_py_tuple_string_to_vector<std::string[64]>():[16]
TEST:    0      32       1     0.000003539             N/A             N/A             N/A         1      282605.6 test_py_tuple_string_to_vector<std::string[64]>():[32]
TEST:    0      64       1     0.000007001             N/A             N/A             N/A         1      142826.5 test_py_tuple_string_to_vector<std::string[64]>():[64]
TEST:    0     128       1     0.000011126             N/A             N/A             N/A         1       89883.6 test_py_tuple_string_to_vector<std::string[64]>():[128]
TEST:    0     256       1     0.000027584             N/A             N/A             N/A         1       36253.6 test_py_tuple_string_to_vector<std::string[64]>():[256]
TEST:    0     512       1     0.000049352             N/A             N/A             N/A         1       20262.4 test_py_tuple_string_to_vector<std::string[64]>():[512]
TEST:    0    1024       1     0.000092408             N/A             N/A             N/A         1       10821.5 test_py_tuple_string_to_vector<std::string[64]>():[1024]
TEST:    0    2048       1     0.000206277             N/A             N/A             N/A         1        4847.9 test_py_tuple_string_to_vector<std::string[64]>():[2048]
TEST:    0    4096       1     0.000438459             N/A             N/A             N/A         1        2280.7 test_py_tuple_string_to_vector<std::string[64]>():[4096]
TEST:    0    8192       1     0.000765915             N/A             N/A             N/A         1        1305.6 test_py_tuple_string_to_vector<std::string[64]>():[8192]
TEST:    0   16384       1     0.001467589             N/A             N/A             N/A         1         681.4 test_py_tuple_string_to_vector<std::string[64]>():[16384]
TEST:    0   32768       1     0.002983251             N/A             N/A             N/A         1         335.2 test_py_tuple_string_to_vector<std::string[64]>():[32768]
TEST:    0   65536       1     0.005445366             N/A             N/A             N/A         1         183.6 test_py_tuple_string_to_vector<std::string[64]>():[65536]
TEST:    0  131072       1     0.011273167             N/A             N/A             N/A         1          88.7 test_py_tuple_string_to_vector<std::string[64]>():[131072]
TEST:    0  262144       1     0.024915592             N/A             N/A             N/A         1          40.1 test_py_tuple_string_to_vector<std::string[64]>():[262144]
TEST:    0  524288       1     0.051833364             N/A             N/A             N/A         1          19.3 test_py_tuple_string_to_vector<std::string[64]>():[524288]
TEST:    0 1048576       1     0.109736445             N/A             N/A             N/A         1           9.1 test_py_tuple_string_to_vector<std::string[64]>():[1048576]
TEST:    0       2       1     0.000001075             N/A             N/A             N/A         1      929800.1 test_py_tuple_string_to_vector<std::string[128]>():[2]
TEST:    0       4       1     0.000000872             N/A             N/A             N/A         1     1147446.9 test_py_tuple_string_to_vector<std::string[128]>():[4]
TEST:    0       8       1     0.000001360             N/A             N/A             N/A         1      735023.9 test_py_tuple_string_to_vector<std::string[128]>():[8]
TEST:    0      16       1     0.000002351             N/A             N/A             N/A         1      425441.4 test_py_tuple_string_to_vector<std::string[128]>():[16]
TEST:    0      32       1     0.000003737             N/A             N/A             N/A         1      267630.1 test_py_tuple_string_to_vector<std::string[128]>():[32]
TEST:    0      64       1     0.000007242             N/A             N/A             N/A         1      138092.9 test_py_tuple_string_to_vector<std::string[128]>():[64]
TEST:    0     128       1     0.000012601             N/A             N/A             N/A         1       79355.6 test_py_tuple_string_to_vector<std::string[128]>():[128]
TEST:    0     256       1     0.000022959             N/A             N/A             N/A         1       43555.0 test_py_tuple_string_to_vector<std::string[128]>():[256]
