#     Event        dEvent  Clock        What     File                   #line Function                                  RSS         dRSS
# $1  $2           $3      $4           $5       $6                        $7 $8                                         $9          $10
      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 131          +1      18.189619    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        546820096   -335171584
PREV: 135          +4      18.189683    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          546820096            0
NEXT: 136          +5      19.420371    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          811339776    264519680
NEXT: 137          +1      19.536014    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        384155648   -427184128
PREV: 139          +2      19.536094    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 384155648            0
NEXT: 140          +3      21.137590    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 882659328    498503680
NEXT: 141          +1      21.281676    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        547901440   -334757888
PREV: 145          +4      21.281707    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          547901440            0
NEXT: 146          +5      22.513189    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          844611584    296710144
NEXT: 147          +1      22.655426    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        414871552   -429740032
PREV: 149          +2      22.655447    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 414871552            0
NEXT: 150          +3      24.276552    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 880410624    465539072
NEXT: 151          +1      24.403346    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        545763328   -334647296
PREV: 155          +4      24.403379    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          545763328            0
NEXT: 156          +5      25.574634    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          849317888    303554560
NEXT: 157          +1      25.696380    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        423096320   -426221568
PREV: 159          +2      25.696398    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 423096320            0
NEXT: 160          +3      27.328341    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 881496064    458399744
NEXT: 161          +1      27.455098    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        547262464   -334233600
PREV: 165          +4      27.455136    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          547262464            0
NEXT: 166          +5      28.682433    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  22 <listcomp>                          841605120    294342656
NEXT: 167          +1      28.806877    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  23 perf_counter                        414203904   -427401216
PREV: 169          +2      28.806892    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 414203904            0
NEXT: 170          +3      30.389497    C_RETURN /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  24 new_list_list_float                 882413568    468209664
NEXT: 171          +1      30.511395    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  25 perf_counter                        548425728   -333987840
PREV: 178          +7      30.511464    CALL     /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  29 <genexpr>                           548425728            0
NEXT: 179          +8      30.511508    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  29 <genexpr>                           548433920         8192
PREV: 253          +74     30.511829    RETURN   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  32 _test_new_list_double               548433920            0
NEXT: 254          +75     30.651145    C_CALL   /Users/engun/CLionProjects/PythonCppHomogeneousContainers/tests/unit/test_with_pymemtrace.py#  51 __exit__                             37777408   -510656512
