# From: perf_notes/pymemtrace_logs/Python312/20241017_100553_20792.log
#     Event        dEvent  Clock        What     File                   #line Function                                  RSS         dRSS
# $1  $2           $3      $4           $5       $6                        $7 $8                                         $9          $10
      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 138          +1      69.588243    C_RETURN tests/unit/test_with_pymemtrace.py 160 min                                 864923648         8192
NEXT: 139          +1      69.588291    C_CALL   tests/unit/test_with_pymemtrace.py 160 sum                                 864968704        45056
PREV: 140          +1      69.588295    C_RETURN tests/unit/test_with_pymemtrace.py 160 sum                                 864968704            0
NEXT: 141          +2      69.588301    C_CALL   tests/unit/test_with_pymemtrace.py 160 len                                 864972800         4096
PREV: 142          +1      69.588304    C_RETURN tests/unit/test_with_pymemtrace.py 160 len                                 864972800            0
NEXT: 143          +2      69.588350    C_CALL   tests/unit/test_with_pymemtrace.py 160 max                                 864980992         8192
PREV: 144          +1      69.588355    C_RETURN tests/unit/test_with_pymemtrace.py 160 max                                 864980992            0
NEXT: 145          +2      69.588370    C_CALL   tests/unit/test_with_pymemtrace.py 160 print                               864989184         8192
NEXT: 146          +1      69.588465    C_RETURN tests/unit/test_with_pymemtrace.py 160 print                               865099776       110592
NEXT: 147          +1      69.588498    CALL     venv/lib/python3.12/site-packages/psutil/_common.py 498 wrapper                             865124352        24576
NEXT: 148          +1      69.588571    CALL     venv/lib/python3.12/site-packages/psutil/__init__.py1098 memory_info                         865210368        86016
NEXT: 149          +1      69.588584    CALL     venv/lib/python3.12/site-packages/psutil/_psosx.py 346 wrapper                             865230848        20480
NEXT: 150          +1      69.588601    CALL     venv/lib/python3.12/site-packages/psutil/_psosx.py 448 memory_info                         865239040         8192
NEXT: 151          +1      69.588608    CALL     venv/lib/python3.12/site-packages/psutil/_psosx.py 346 wrapper                             865247232         8192
PREV: 152          +1      69.588610    CALL     venv/lib/python3.12/site-packages/psutil/_common.py 498 wrapper                             865247232            0
NEXT: 153          +2      69.588620    CALL     venv/lib/python3.12/site-packages/psutil/_psosx.py 379 _get_pidtaskinfo                    865255424         8192
NEXT: 154          +1      69.588635    C_CALL   venv/lib/python3.12/site-packages/psutil/_psosx.py 383 proc_pidtaskinfo_oneshot            865271808        16384
NEXT: 155          +1      69.588653    C_RETURN venv/lib/python3.12/site-packages/psutil/_psosx.py 383 proc_pidtaskinfo_oneshot            865288192        16384
PREV: 159          +4      69.588661    C_RETURN venv/lib/python3.12/site-packages/psutil/_psosx.py 384 len                                 865288192            0
NEXT: 160          +5      69.588669    RETURN   venv/lib/python3.12/site-packages/psutil/_psosx.py 385 _get_pidtaskinfo                    865292288         4096
PREV: 162          +2      69.588675    RETURN   venv/lib/python3.12/site-packages/psutil/_psosx.py 349 wrapper                             865292288            0
NEXT: 163          +3      69.588721    CALL     <string>                                                                           1 <lambda>                            865357824        65536
NEXT: 164          +1      69.588729    C_CALL   <string>                                                                           1 __new__                             865366016         8192
NEXT: 165          +1      69.588733    C_RETURN <string>                                                                           1 __new__                             865370112         4096
PREV: 166          +1      69.588735    RETURN   <string>                                                                           1 <lambda>                            865370112            0
NEXT: 167          +2      69.588750    RETURN   venv/lib/python3.12/site-packages/psutil/_psosx.py 451 memory_info                         865374208         4096
PREV: 170          +3      69.588758    RETURN   venv/lib/python3.12/site-packages/psutil/_common.py 506 wrapper                             865374208            0
NEXT: 171          +4      69.588789    C_CALL   tests/unit/test_with_pymemtrace.py 162 print                               865394688        20480
PREV: 173          +2      69.588798    RETURN   tests/unit/test_with_pymemtrace.py 162 _test_new_list_double               865394688            0
NEXT: 174          +3      69.730763    C_CALL   tests/unit/test_with_pymemtrace.py 169 __exit__                            434704384   -430690304
