/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.145 now:     21.121 diff:    +15.977 Peak was:      5.145 now:     21.121 diff:    +15.977 test_perf_py_tuple_to_vector<bool>
RSS(Mb): was:     21.121 now:     17.230 diff:     -3.891 Peak was:     21.121 now:     57.734 diff:    +36.613 test_perf_py_tuple_to_vector<long>
RSS(Mb): was:     17.230 now:     17.562 diff:     +0.332 Peak was:     57.734 now:     57.816 diff:     +0.082 test_perf_py_tuple_to_vector<double>
====RSS(Mb): was:      5.145 now:     17.562 diff:    +12.418 Peak was:      5.145 now:     57.816 diff:    +52.672 ==== test_performance.cpp
Number of tests: 60
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0     512       1     0.000005666             N/A             N/A             N/A         1      176475.8 test_py_tuple_to_vector<double>
TEST:    0    1024       1     0.000012213             N/A             N/A             N/A         1       81876.6 test_py_tuple_to_vector<double>
TEST:    0    2048       1     0.000023795             N/A             N/A             N/A         1       42026.5 test_py_tuple_to_vector<double>
TEST:    0    4096       1     0.000035512             N/A             N/A             N/A         1       28159.9 test_py_tuple_to_vector<double>
TEST:    0    8192       1     0.000098395             N/A             N/A             N/A         1       10163.2 test_py_tuple_to_vector<double>
TEST:    0   16384       1     0.000191489             N/A             N/A             N/A         1        5222.2 test_py_tuple_to_vector<double>
TEST:    0   32768       1     0.000302775             N/A             N/A             N/A         1        3302.8 test_py_tuple_to_vector<double>
TEST:    0   65536       1     0.000800317             N/A             N/A             N/A         1        1249.5 test_py_tuple_to_vector<double>
TEST:    0  131072       1     0.001812236             N/A             N/A             N/A         1         551.8 test_py_tuple_to_vector<double>
TEST:    0  262144       1     0.004627867             N/A             N/A             N/A         1         216.1 test_py_tuple_to_vector<double>
TEST:    0  524288       1     0.007741354             N/A             N/A             N/A         1         129.2 test_py_tuple_to_vector<double>
TEST:    0 1048576       1     0.013148801             N/A             N/A             N/A         1          76.1 test_py_tuple_to_vector<double>
TAIL: Passed=60/60 Failed=0/60

Count of unique strings: 0
====RSS(Mb): was:      5.141 now:     16.367 diff:    +11.227 Peak was:      5.141 now:     57.816 diff:    +52.676 main.cpp
Total execution time: 0.276 (s)
Bye, bye!

Process finished with exit code 0
