/Users/paulross/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:     31.469 now:     31.547 diff:     +0.078 Peak was:     31.469 now:     31.547 diff:     +0.078 test_vector_to_py_tuple<bool>
RSS(Mb): was:     31.547 now:     31.547 diff:     +0.000 Peak was:     31.547 now:     31.547 diff:     +0.000 test_vector_to_py_tuple<long>
RSS(Mb): was:     31.547 now:     31.562 diff:     +0.016 Peak was:     31.547 now:     31.562 diff:     +0.016 test_vector_to_py_tuple<double>
RSS(Mb): was:     31.562 now:     31.562 diff:     +0.000 Peak was:     31.562 now:     31.562 diff:     +0.000 test_py_tuple_to_vector<bool>
RSS(Mb): was:     31.578 now:     31.594 diff:     +0.016 Peak was:     31.578 now:     31.594 diff:     +0.016 test_py_tuple_to_vector<long>
RSS(Mb): was:     31.594 now:     31.594 diff:     +0.000 Peak was:     31.594 now:     31.594 diff:     +0.000 test_py_tuple_to_vector<double>
RSS(Mb): was:     31.594 now:     31.594 diff:     +0.000 Peak was:     31.594 now:     31.594 diff:     +0.000 test_vector_to_py_tuple_round_trip<bool>
RSS(Mb): was:     31.594 now:     31.609 diff:     +0.016 Peak was:     31.594 now:     31.609 diff:     +0.016 test_vector_to_py_tuple_round_trip<long>
RSS(Mb): was:     31.609 now:     31.672 diff:     +0.062 Peak was:     31.609 now:     31.672 diff:     +0.062 test_vector_to_py_tuple_round_trip<double>
RSS(Mb): was:     31.672 now:     31.672 diff:     +0.000 Peak was:     31.672 now:     31.672 diff:     +0.000 test_py_tuple_to_vector_round_trip<bool>
RSS(Mb): was:     31.672 now:     31.781 diff:     +0.109 Peak was:     31.672 now:     31.781 diff:     +0.109 test_py_tuple_to_vector_round_trip<long>
RSS(Mb): was:     31.781 now:     31.828 diff:     +0.047 Peak was:     31.781 now:     31.828 diff:     +0.047 test_py_tuple_to_vector_round_trip<double>
RSS(Mb): was:     31.828 now:     32.219 diff:     +0.391 Peak was:     31.828 now:     32.219 diff:     +0.391 test_vector_string_to_py_tuple
RSS(Mb): was:     32.219 now:     32.250 diff:     +0.031 Peak was:     32.219 now:     32.250 diff:     +0.031 test_py_tuple_string_to_vector
RSS(Mb): was:     32.250 now:     32.438 diff:     +0.188 Peak was:     32.250 now:     32.438 diff:     +0.188 test_unordered_set_to_py_set<long>
RSS(Mb): was:     32.438 now:     32.453 diff:     +0.016 Peak was:     32.438 now:     32.453 diff:     +0.016 test_py_set_to_unordered_set<long>
RSS(Mb): was:     32.453 now:     32.719 diff:     +0.266 Peak was:     32.453 now:     32.719 diff:     +0.266 test_cpp_std_unordered_map_to_py_dict<double, double>
RSS(Mb): was:     32.719 now:     32.734 diff:     +0.016 Peak was:     32.719 now:     32.734 diff:     +0.016 test_py_dict_to_cpp_std_unordered_map<double, double>
====RSS(Mb): was:     31.203 now:     32.734 diff:     +1.531 Peak was:     31.203 now:     32.734 diff:     +1.531 ==== test_functional.cpp
RSS(Mb): was:     32.750 now:     54.172 diff:    +21.422 Peak was:     32.750 now:     54.172 diff:    +21.422 test_perf_vector_to_py_tuple<bool>
RSS(Mb): was:     54.172 now:    108.562 diff:    +54.391 Peak was:     54.172 now:    172.562 diff:   +118.391 test_perf_vector_to_py_tuple<long>
RSS(Mb): was:    108.578 now:    109.703 diff:     +1.125 Peak was:    172.562 now:    172.703 diff:     +0.141 test_perf_vector_to_py_tuple<double>
RSS(Mb): was:    109.703 now:    109.703 diff:     +0.000 Peak was:    172.703 now:    172.703 diff:     +0.000 test_perf_py_tuple_to_vector<bool>
RSS(Mb): was:    109.703 now:    152.312 diff:    +42.609 Peak was:    172.703 now:    215.312 diff:    +42.609 test_perf_py_tuple_to_vector<long>
RSS(Mb): was:    152.312 now:    168.672 diff:    +16.359 Peak was:    215.312 now:    231.672 diff:    +16.359 test_perf_py_tuple_to_vector<double>
RSS(Mb): was:    168.672 now:    509.203 diff:   +340.531 Peak was:    231.672 now:   9402.656 diff:  +9170.984 test_perf_vector_string_to_py_tuple
RSS(Mb): was:    509.375 now:    606.109 diff:    +96.734 Peak was:   9402.656 now:   9457.078 diff:    +54.422 test_perf_py_tuple_string_to_vector
RSS(Mb): was:    606.125 now:    681.641 diff:    +75.516 Peak was:   9457.078 now:   9457.078 diff:     +0.000 test_perf_cpp_std_unordered_map_to_py_dict<double>
RSS(Mb): was:    681.641 now:     96.906 diff:   -584.719 Peak was:   9457.078 now:   9457.078 diff:     +0.000 test_perf_py_dict_to_cpp_std_unordered_map<double>
RSS(Mb): was:     96.938 now:    227.594 diff:   +130.672 Peak was:   9457.078 now:  11235.734 diff:  +1778.656 test_cpp_std_unordered_map_to_py_dict_string
RSS(Mb): was:    227.672 now:    502.031 diff:   +274.359 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_perf_vector_string_to_py_tuple_multiple
====RSS(Mb): was:     32.750 now:    502.062 diff:   +469.312 Peak was:     32.750 now:  11235.734 diff: +11202.984 ==== test_performance.cpp
RSS(Mb): was:    502.219 now:    504.406 diff:     +2.188 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_memory_py_tuple
RSS(Mb): was:    504.406 now:    752.688 diff:   +248.281 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_memory_py_dict
RSS(Mb): was:    752.688 now:    867.781 diff:   +115.094 Peak was:  11235.734 now:  11235.734 diff:     +0.000 test_memory_vector_string_to_py_tuple(1024, 2048, 512, 1<<16)
====RSS(Mb): was:    502.219 now:    867.781 diff:   +365.562 Peak was:  11235.734 now:  11235.734 diff:     +0.000 ==== test_memory.cpp
Number of tests: 372
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Time(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0  131072       1     0.001019959             N/A             N/A             N/A         1         980.4 test_py_tuple_to_vector<bool>
TEST:    0  524288       1     0.004319043             N/A             N/A             N/A         1         231.5 test_py_tuple_to_vector<bool>
TEST:    0       2       1     0.000000625             N/A             N/A             N/A         1     1598721.0 test_py_tuple_to_vector<long>
TEST:    0       8       1     0.000000208             N/A             N/A             N/A         1     4796163.1 test_py_tuple_to_vector<long>
TEST:    0      32       1     0.000000501             N/A             N/A             N/A         1     1998002.0 test_py_tuple_to_vector<long>
TEST:    0     128       1     0.000001709             N/A             N/A             N/A         1      584966.4 test_py_tuple_to_vector<long>
TEST:    0     512       1     0.000005000             N/A             N/A             N/A         1      199980.0 test_py_tuple_to_vector<long>
TEST:    0    2048       1     0.000022333             N/A             N/A             N/A         1       44775.8 test_py_tuple_to_vector<long>
TEST:    0    8192       1     0.000102250             N/A             N/A             N/A         1        9779.9 test_py_tuple_to_vector<long>
TEST:    0   32768       1     0.000381041             N/A             N/A             N/A         1        2624.4 test_py_tuple_to_vector<long>
TEST:    0  131072       1     0.001473584             N/A             N/A             N/A         1         678.6 test_py_tuple_to_vector<long>
TEST:    0  524288       1     0.007135334             N/A             N/A             N/A         1         140.1 test_py_tuple_to_vector<long>
TEST:    0       2       1     0.000001041             N/A             N/A             N/A         1      960153.6 test_py_tuple_to_vector<double>
TEST:    0       8       1     0.000000291             N/A             N/A             N/A         1     3430531.7 test_py_tuple_to_vector<double>
TEST:    0      32       1     0.000000417             N/A             N/A             N/A         1     2400960.4 test_py_tuple_to_vector<double>
TEST:    0     128       1     0.000001459             N/A             N/A             N/A         1      685635.9 test_py_tuple_to_vector<double>
TEST:    0     512       1     0.000005126             N/A             N/A             N/A         1      195102.9 test_py_tuple_to_vector<double>
TEST:    0    2048       1     0.000019543             N/A             N/A             N/A         1       51170.5 test_py_tuple_to_vector<double>
TEST:    0    8192       1     0.000078043             N/A             N/A             N/A         1       12813.5 test_py_tuple_to_vector<double>
TEST:    0   32768       1     0.000315710             N/A             N/A             N/A         1        3167.5 test_py_tuple_to_vector<double>
TEST:    0  131072       1     0.001467126             N/A             N/A             N/A         1         681.6 test_py_tuple_to_vector<double>
TEST:    0  524288       1     0.004888585             N/A             N/A             N/A         1         204.6 test_py_tuple_to_vector<double>
TEST:    0       2       1     0.000003251             N/A             N/A             N/A         1      307645.0 test_vector_string_to_py_tuple<std::string[8]>():[2]
TEST:    0       8       1     0.000000293             N/A             N/A             N/A         1     3418803.4 test_vector_string_to_py_tuple<std::string[8]>():[8]
TEST:    0      32       1     0.000001000             N/A             N/A             N/A         1      999500.2 test_vector_string_to_py_tuple<std::string[8]>():[32]
TEST:    0     128       1     0.000003625             N/A             N/A             N/A         1      275824.0 test_vector_string_to_py_tuple<std::string[8]>():[128]
TEST:    0     512       1     0.000007709             N/A             N/A             N/A         1      129726.9 test_vector_string_to_py_tuple<std::string[8]>():[512]
TEST:    0    2048       1     0.000030334             N/A             N/A             N/A         1       32966.9 test_vector_string_to_py_tuple<std::string[8]>():[2048]
TEST:    0    8192       1     0.000152959             N/A             N/A             N/A         1        6537.7 test_vector_string_to_py_tuple<std::string[8]>():[8192]
TEST:    0   32768       1     0.000721542             N/A             N/A             N/A         1        1385.9 test_vector_string_to_py_tuple<std::string[8]>():[32768]
TEST:    0  131072       1     0.003449542             N/A             N/A             N/A         1         289.9 test_vector_string_to_py_tuple<std::string[8]>():[131072]
TEST:    0  524288       1     0.015378417             N/A             N/A             N/A         1          65.0 test_vector_string_to_py_tuple<std::string[8]>():[524288]
TEST:    0       2       1     0.000003876             N/A             N/A             N/A         1      258031.2 test_vector_string_to_py_tuple<std::string[32]>():[2]
TEST:    0       8       1     0.000001501             N/A             N/A             N/A         1      666444.5 test_vector_string_to_py_tuple<std::string[32]>():[8]
TEST:    0      32       1     0.000001709             N/A             N/A             N/A         1      585308.8 test_vector_string_to_py_tuple<std::string[32]>():[32]
TEST:    0     128       1     0.000003000             N/A             N/A             N/A         1      333277.8 test_vector_string_to_py_tuple<std::string[32]>():[128]
TEST:    0     512       1     0.000009833             N/A             N/A             N/A         1      101693.2 test_vector_string_to_py_tuple<std::string[32]>():[512]
TEST:    0    2048       1     0.000033251             N/A             N/A             N/A         1       30074.7 test_vector_string_to_py_tuple<std::string[32]>():[2048]
TEST:    0    8192       1     0.000132542             N/A             N/A             N/A         1        7544.7 test_vector_string_to_py_tuple<std::string[32]>():[8192]
TEST:    0   32768       1     0.001053918             N/A             N/A             N/A         1         948.8 test_vector_string_to_py_tuple<std::string[32]>():[32768]
TEST:    0  131072       1     0.004360167             N/A             N/A             N/A         1         229.3 test_vector_string_to_py_tuple<std::string[32]>():[131072]
TEST:    0  524288       1     0.019121459             N/A             N/A             N/A         1          52.3 test_vector_string_to_py_tuple<std::string[32]>():[524288]
TEST:    0       2       1     0.000004125             N/A             N/A             N/A         1      242394.9 test_vector_string_to_py_tuple<std::string[128]>():[2]
TEST:    0       8       1     0.000000750             N/A             N/A             N/A         1     1332445.0 test_vector_string_to_py_tuple<std::string[128]>():[8]
TEST:    0      32       1     0.000001459             N/A             N/A             N/A         1      685635.9 test_vector_string_to_py_tuple<std::string[128]>():[32]
TEST:    0     128       1     0.000003251             N/A             N/A             N/A         1      307645.0 test_vector_string_to_py_tuple<std::string[128]>():[128]
TEST:    0     512       1     0.000010793             N/A             N/A             N/A         1       92656.9 test_vector_string_to_py_tuple<std::string[128]>():[512]
TEST:    0    2048       1     0.000038541             N/A             N/A             N/A         1       25946.1 test_vector_string_to_py_tuple<std::string[128]>():[2048]
TEST:    0    8192       1     0.000326042             N/A             N/A             N/A         1        3067.1 test_vector_string_to_py_tuple<std::string[128]>():[8192]
TEST:    0   32768       1     0.002089126             N/A             N/A             N/A         1         478.7 test_vector_string_to_py_tuple<std::string[128]>():[32768]
TEST:    0  131072       1     0.009716001             N/A             N/A             N/A         1         102.9 test_vector_string_to_py_tuple<std::string[128]>():[131072]
TEST:    0  524288       1     0.033677876             N/A             N/A             N/A         1          29.7 test_vector_string_to_py_tuple<std::string[128]>():[524288]
