/Users/engun/CLionProjects/PythonCppHomogeneousContainers/cmake-build-release/PythonCppHomogeneousContainers
Hello, World!
RSS(Mb): was:      5.410 now:     21.488 diff:    +16.078 Peak was:      5.410 now:     21.488 diff:    +16.078 test_perf_vector_to_py_list_multiple<bool>
RSS(Mb): was:     21.488 now:     37.461 diff:    +15.973 Peak was:     21.488 now:     37.500 diff:    +16.012 test_perf_vector_to_py_list_multiple<long>
RSS(Mb): was:     37.461 now:     25.738 diff:    -11.723 Peak was:     37.500 now:     65.926 diff:    +28.426 test_perf_vector_to_py_list_multiple<double>
RSS(Mb): was:     25.738 now:     31.934 diff:     +6.195 Peak was:     65.926 now:     65.926 diff:     +0.000 test_perf_py_list_to_vector_multiple<bool>
RSS(Mb): was:     31.934 now:     25.777 diff:     -6.156 Peak was:     65.926 now:     65.926 diff:     +0.000 test_perf_py_list_to_vector_multiple<long>
RSS(Mb): was:     25.777 now:     25.824 diff:     +0.047 Peak was:     65.926 now:     65.926 diff:     +0.000 test_perf_py_list_to_vector_multiple<double>
RSS(Mb): was:     25.824 now:    183.066 diff:   +157.242 Peak was:     65.926 now:   9303.777 diff:  +9237.852 test_perf_vector_string_to_py_list_multiple
RSS(Mb): was:    183.066 now:    170.711 diff:    -12.355 Peak was:   9303.777 now:   9303.777 diff:     +0.000 test_perf_py_list_to_vector_string_multiple
====RSS(Mb): was:      5.410 now:    170.715 diff:   +165.305 Peak was:      5.410 now:   9303.777 diff:  +9298.367 ==== test_performance.cpp
Number of tests: 294
REGEX_HEAD: "HEAD:\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)\s+(\S+)"
REGEX_TEST: "TEST:\s+(\d+)\s+(\d+)\s+(\d+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+([0-9+-.]+)\s+(\d+)\s+([0-9+-.]+)\s+(\S+)"
REGEX_TAIL: "TAIL:\s+(.+)"
HEAD: Fail   Scale  Repeat         Mean(s)     Std.Dev.(s)         Min.(s)         Max.(s)     Count      Rate(/s) Name
TEST:    0      32       5     0.000000272     0.000000119     0.000000206     0.000000508         5    18402650.0 test_vector_to_py_list_multiple<long>[32]
TEST:    0      64       5     0.000000416     0.000000099     0.000000353     0.000000614         5    12027904.7 test_vector_to_py_list_multiple<long>[64]
TEST:    0     128       5     0.000000759     0.000000106     0.000000676     0.000000960         5     6588483.3 test_vector_to_py_list_multiple<long>[128]
TEST:    0     256       5     0.000001339     0.000000096     0.000001278     0.000001529         5     3733851.1 test_vector_to_py_list_multiple<long>[256]
TEST:    0     512       5     0.000002568     0.000000121     0.000002443     0.000002740         5     1947268.0 test_vector_to_py_list_multiple<long>[512]
TEST:    0    1024       5     0.000004873     0.000000105     0.000004750     0.000005068         5     1026125.1 test_vector_to_py_list_multiple<long>[1024]
TEST:    0    2048       5     0.000009754     0.000000288     0.000009536     0.000010318         5      512605.0 test_vector_to_py_list_multiple<long>[2048]
TEST:    0    4096       5     0.000021404     0.000005341     0.000018702     0.000032086         5      233604.5 test_vector_to_py_list_multiple<long>[4096]
TEST:    0    8192       5     0.000042857     0.000010544     0.000037497     0.000063945         5      116666.8 test_vector_to_py_list_multiple<long>[8192]
TEST:    0   16384       5     0.000090012     0.000017404     0.000080992     0.000124813         5       55548.5 test_vector_to_py_list_multiple<long>[16384]
TEST:    0   32768       5     0.000194322     0.000044264     0.000162815     0.000278078         5       25730.4 test_vector_to_py_list_multiple<long>[32768]
TEST:    0   65536       5     0.000363878     0.000077280     0.000324406     0.000518426         5       13740.9 test_vector_to_py_list_multiple<long>[65536]
TEST:    0  131072       5     0.000737574     0.000130881     0.000662736     0.000998388         5        6779.0 test_vector_to_py_list_multiple<long>[131072]
TEST:    0  262144       5     0.001503654     0.000235837     0.001349734     0.001964987         5        3325.2 test_vector_to_py_list_multiple<long>[262144]
TEST:    0  524288       5     0.003036799     0.000537078     0.002706911     0.004109003         5        1646.5 test_vector_to_py_list_multiple<long>[524288]
TEST:    0 1048576       5     0.006117586     0.001093735     0.005278550     0.008108778         5         817.3 test_vector_to_py_list_multiple<long>[1048576]
TEST:    0       1       5     0.000001376     0.000002625     0.000000059     0.000006626         5     3634513.3 test_vector_to_py_list_multiple<double>[1]
TEST:    0       2       5     0.000000094     0.000000043     0.000000067     0.000000177         5    53134962.8 test_vector_to_py_list_multiple<double>[2]
TEST:    0       4       5     0.000000166     0.000000167     0.000000078     0.000000500         5    30066145.5 test_vector_to_py_list_multiple<double>[4]
TEST:    0       8       5     0.000000264     0.000000272     0.000000126     0.000000808         5    18946570.7 test_vector_to_py_list_multiple<double>[8]
TEST:    0      16       5     0.000000253     0.000000157     0.000000171     0.000000566         5    19755037.5 test_vector_to_py_list_multiple<double>[16]
TEST:    0      32       5     0.000000431     0.000000294     0.000000281     0.000001019         5    11614401.9 test_vector_to_py_list_multiple<double>[32]
TEST:    0      64       5     0.000000615     0.000000213     0.000000502     0.000001041         5     8123476.8 test_vector_to_py_list_multiple<double>[64]
TEST:    0     128       5     0.000001796     0.000001251     0.000001137     0.000004297         5     2784429.5 test_vector_to_py_list_multiple<double>[128]
TEST:    0     256       5     0.000002894     0.000000743     0.000002467     0.000004380         5     1727533.4 test_vector_to_py_list_multiple<double>[256]
TEST:    0     512       5     0.000005804     0.000001155     0.000005165     0.000008113         5      861489.7 test_vector_to_py_list_multiple<double>[512]
TEST:    0    1024       5     0.000012062     0.000002804     0.000010634     0.000017670         5      414514.6 test_vector_to_py_list_multiple<double>[1024]
