      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      1198.709633  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183623680    183623680
NEXT: 1            +1      1198.709671  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183640064        16384
PREV: 8970         +8969   1198.730723  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183640064            0
NEXT: 8971         +8970   1198.730772  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183652352        12288
PREV: 11610        +2639   1198.737116  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183652352            0
NEXT: 11611        +2640   1198.737130  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183656448         4096
PREV: 11612        +1      1198.737133  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183656448            0
NEXT: 11613        +2      1198.737140  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183660544         4096
PREV: 16514        +4901   1198.749185  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183660544            0
NEXT: 16515        +4902   1198.749216  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183672832        12288
PREV: 17716        +1201   1198.752297  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183672832            0
NEXT: 17717        +1202   1198.752373  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183681024         8192
PREV: 18776        +1059   1198.755285  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183681024            0
NEXT: 18777        +1060   1198.755335  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183689216         8192
PREV: 19676        +899    1198.757863  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183689216            0
NEXT: 19677        +900    1198.757894  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183693312         4096
PREV: 19832        +155    1198.758324  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183693312            0
NEXT: 19833        +156    1198.758386  C_RETURN tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183697408         4096
PREV: 22966        +3133   1198.766714  C_CALL   tests/unit/test_with_pymemtrace.py 437 new_set_bytes                       183697408            0
