      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      38.503584    CALL     tests/unit/test_with_pymemtrace.py 103 _test_new_list_bool                 157392896    157392896
PREV: 56           +56     38.503732    C_RETURN tests/unit/test_with_pymemtrace.py 107 print                               157392896            0
NEXT: 57           +57     38.775901    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         78200832    -79192064
PREV: 59           +2      38.775916    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                   78200832            0
NEXT: 60           +3      39.559262    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  577511424    499310592
PREV: 64           +4      39.570946    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              577511424            0
NEXT: 65           +5      39.848608    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        421937152   -155574272
PREV: 67           +2      39.848621    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  421937152            0
NEXT: 68           +3      40.538723    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  595410944    173473792
PREV: 72           +4      40.547739    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              595410944            0
NEXT: 73           +5      40.831593    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        432300032   -163110912
PREV: 75           +2      40.831610    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  432300032            0
NEXT: 76           +3      41.520856    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  595386368    163086336
PREV: 80           +4      41.533792    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              595386368            0
NEXT: 81           +5      41.814676    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        438996992   -156389376
PREV: 83           +2      41.814690    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  438996992            0
NEXT: 84           +3      42.502043    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  602075136    163078144
PREV: 88           +4      42.512221    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              602075136            0
NEXT: 89           +5      42.791280    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        437952512   -164122624
PREV: 91           +2      42.791337    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  437952512            0
NEXT: 92           +3      43.485233    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  601030656    163078144
PREV: 96           +4      43.495594    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              601030656            0
NEXT: 97           +5      43.778498    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        437919744   -163110912
PREV: 99           +2      43.778513    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  437919744            0
NEXT: 100          +3      44.488981    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  600997888    163078144
PREV: 104          +4      44.502128    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              600997888            0
NEXT: 105          +5      44.791430    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        437919744   -163078144
PREV: 107          +2      44.791445    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  437919744            0
NEXT: 108          +3      45.501056    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  600997888    163078144
PREV: 112          +4      45.513934    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              600997888            0
NEXT: 113          +5      45.792185    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        438738944   -162258944
PREV: 115          +2      45.792202    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  438738944            0
NEXT: 116          +3      46.580886    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  601817088    163078144
PREV: 120          +4      46.595476    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              601817088            0
NEXT: 121          +5      46.911927    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        444735488   -157081600
PREV: 123          +2      46.911944    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  444735488            0
NEXT: 124          +3      47.599961    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  607813632    163078144
PREV: 128          +4      47.608762    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              607813632            0
NEXT: 129          +5      47.886303    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                        452141056   -155672576
PREV: 131          +2      47.886351    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  452141056            0
NEXT: 132          +3      48.597731    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_list_bool                  615219200    163078144
PREV: 173          +41     48.609532    RETURN   tests/unit/test_with_pymemtrace.py 120 _test_new_list_bool                 615219200            0
NEXT: 174          +42     48.624055    C_CALL   tests/unit/test_with_pymemtrace.py 138 __exit__                            531333120    -83886080
