      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      26.425669    CALL     tests/unit/test_with_pymemtrace.py  52 _test_new_str                        35655680     35655680
PREV: 54           +54     26.425801    RETURN   venv/lib/python3.12/site-packages/psutil/_common.py 506 wrapper                              35655680            0
NEXT: 55           +55     26.672495    C_CALL   tests/unit/test_with_pymemtrace.py  59 perf_counter                       1109401600   1073745920
PREV: 57           +2      26.672510    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1109401600            0
NEXT: 58           +3      27.376804    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2173575168   1064173568
NEXT: 59           +1      27.427593    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1108254720  -1065320448
PREV: 65           +6      27.427625    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1108254720            0
NEXT: 66           +7      28.106530    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2090545152    982290432
NEXT: 67           +1      28.140202    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1016799232  -1073745920
PREV: 73           +6      28.140237    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1016799232            0
NEXT: 74           +7      28.831240    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2183081984   1166282752
NEXT: 75           +1      28.859867    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109336064  -1073745920
PREV: 81           +6      28.859891    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1109336064            0
NEXT: 82           +7      29.536660    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2182885376   1073549312
NEXT: 83           +1      29.570581    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109143552  -1073741824
PREV: 89           +6      29.570615    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1109143552            0
NEXT: 90           +7      30.217967    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2183151616   1074008064
NEXT: 91           +1      30.247159    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109405696  -1073745920
PREV: 97           +6      30.247185    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1109405696            0
NEXT: 98           +7      30.893027    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2183151616   1073745920
NEXT: 99           +1      30.920866    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109405696  -1073745920
PREV: 105          +6      30.920892    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1109405696            0
NEXT: 106          +7      31.733330    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2040455168    931049472
NEXT: 107          +1      31.773279    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1109135360   -931319808
PREV: 113          +6      31.773343    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1109135360            0
NEXT: 114          +7      32.575752    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2161389568   1052254208
NEXT: 115          +1      32.613561    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1087647744  -1073741824
PREV: 121          +6      32.613598    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1087647744            0
NEXT: 122          +7      33.395356    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2141478912   1053831168
NEXT: 123          +1      33.431425    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1067732992  -1073745920
PREV: 129          +6      33.431468    C_CALL   tests/unit/test_with_pymemtrace.py  60 new_str32                          1067741184            0
NEXT: 130          +7      34.103141    C_RETURN tests/unit/test_with_pymemtrace.py  60 new_str32                          2156544000   1088802816
NEXT: 131          +1      34.130472    C_CALL   tests/unit/test_with_pymemtrace.py  61 perf_counter                       1082798080  -1073745920
PREV: 143          +12     34.130606    C_CALL   tests/unit/test_with_pymemtrace.py  63 print                              1082875904         8192
NEXT: 144          +13     34.130701    C_RETURN tests/unit/test_with_pymemtrace.py  63 print                              1082998784       122880
PREV: 145          +1      34.130733    CALL     venv/lib/python3.12/site-packages/psutil/_common.py 498 wrapper                            1083027456        28672
NEXT: 146          +2      34.130799    CALL     venv/lib/python3.12/site-packages/psutil/__init__.py1098 memory_info                        1083125760        98304
PREV: 160          +14     34.130913    RETURN   venv/lib/python3.12/site-packages/psutil/_psosx.py 349 wrapper                            1083215872            0
NEXT: 161          +15     34.130961    CALL     <string>                                                                           1 <lambda>                           1083285504        69632
PREV: 171          +10     34.131065    RETURN   tests/unit/test_with_pymemtrace.py  65 _test_new_str                      1083322368            0
NEXT: 172          +11     34.163975    C_CALL   tests/unit/test_with_pymemtrace.py  95 __exit__                              9605120  -1073717248
