      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1097.948781  CALL     tests/unit/test_with_pymemtrace.py#  64 _test_new_list_double              1489580032   1489580032
PREV: 56           +56     1097.948922  C_RETURN tests/unit/test_with_pymemtrace.py#  68 print                              1489580032            0
NEXT: 57           +57     1099.331665  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1703718912    214138880
PREV: 59           +2      1099.331682  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1703718912            0
NEXT: 60           +3      1100.211510  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119774208    416055296
NEXT: 61           +1      1100.377311  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1784229888   -335544320
PREV: 64           +3      1100.377341  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1784229888            0
NEXT: 65           +4      1102.021515  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1664143360   -120086528
PREV: 67           +2      1102.021532  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1664143360            0
NEXT: 68           +3      1102.908597  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119774208    455630848
NEXT: 69           +1      1103.051488  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1827221504   -292552704
PREV: 72           +3      1103.051507  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1827221504            0
NEXT: 73           +4      1104.562077  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1623248896   -203972608
PREV: 75           +2      1104.562093  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1623248896            0
NEXT: 76           +3      1105.456062  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119774208    496525312
NEXT: 77           +1      1105.612626  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1786327040   -333447168
PREV: 80           +3      1105.612650  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1786327040            0
NEXT: 81           +4      1107.131759  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1666240512   -120086528
PREV: 83           +2      1107.131776  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1666240512            0
NEXT: 84           +3      1108.022210  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119774208    453533696
NEXT: 85           +1      1108.159445  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1829318656   -290455552
PREV: 88           +3      1108.159465  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1829318656            0
NEXT: 89           +4      1109.671770  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1625346048   -203972608
PREV: 91           +2      1109.671786  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1625346048            0
NEXT: 92           +3      1110.566886  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119774208    494428160
NEXT: 93           +1      1110.713087  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1788424192   -331350016
PREV: 96           +3      1110.713108  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1788424192            0
NEXT: 97           +4      1112.232179  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1668337664   -120086528
PREV: 99           +2      1112.232196  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1668337664            0
NEXT: 100          +3      1113.118455  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119774208    451436544
NEXT: 101          +1      1113.256779  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1831415808   -288358400
PREV: 104          +3      1113.256800  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1831415808            0
NEXT: 105          +4      1114.771009  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1627443200   -203972608
PREV: 107          +2      1114.771022  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1627443200            0
NEXT: 108          +3      1115.671511  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119782400    492339200
NEXT: 109          +1      1115.817660  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1790529536   -329252864
PREV: 112          +3      1115.817688  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1790529536            0
NEXT: 113          +4      1117.340388  C_CALL   tests/unit/test_with_pymemtrace.py#  72 perf_counter                       1670443008   -120086528
PREV: 115          +2      1117.340403  C_CALL   tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                1670443008            0
NEXT: 116          +3      1118.226233  C_RETURN tests/unit/test_with_pymemtrace.py#  73 new_list_list_float                2119782400    449339392
NEXT: 117          +1      1118.368301  C_CALL   tests/unit/test_with_pymemtrace.py#  74 perf_counter                       1833521152   -286261248
PREV: 120          +3      1118.368322  C_RETURN tests/unit/test_with_pymemtrace.py#  75 append                             1833521152            0
