      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      69.749672    CALL     tests/unit/test_with_pymemtrace.py 145 _test_new_list_double               460398592    460398592
PREV: 56           +56     69.749821    C_RETURN tests/unit/test_with_pymemtrace.py 149 print                               460398592            0
NEXT: 57           +57     71.148654    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        513495040     53096448
PREV: 59           +2      71.148668    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 513495040            0
NEXT: 60           +3      72.187548    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1231683584    718188544
NEXT: 61           +1      72.337989    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        895188992   -336494592
PREV: 64           +3      72.338016    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              895188992            0
NEXT: 65           +4      73.881823    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        767942656   -127246336
PREV: 67           +2      73.881838    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 767942656            0
NEXT: 68           +3      74.817041    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1275621376    507678720
NEXT: 69           +1      74.980026    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        941191168   -334430208
PREV: 72           +3      74.980050    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              941191168            0
NEXT: 73           +4      76.624474    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        766083072   -175108096
PREV: 75           +2      76.624490    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 766083072            0
NEXT: 76           +3      77.580596    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1246040064    479956992
NEXT: 77           +1      77.744013    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        911609856   -334430208
PREV: 80           +3      77.744040    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              911609856            0
NEXT: 81           +4      79.290495    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        774799360   -136810496
PREV: 83           +2      79.290510    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 774799360            0
NEXT: 84           +3      80.216180    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1270243328    495443968
NEXT: 85           +1      80.367659    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        937877504   -332365824
PREV: 88           +3      80.367686    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              937877504            0
NEXT: 89           +4      81.893875    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        769765376   -168112128
PREV: 91           +2      81.893892    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 769765376            0
NEXT: 92           +3      82.824371    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1265209344    495443968
NEXT: 93           +1      82.964812    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        932843520   -332365824
PREV: 96           +3      82.964836    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              932843520            0
NEXT: 97           +4      84.505494    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        771829760   -161013760
PREV: 99           +2      84.505513    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 771829760            0
NEXT: 100          +3      85.438335    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1265209344    493379584
NEXT: 101          +1      85.573979    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        934907904   -330301440
PREV: 104          +3      85.574005    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              934907904            0
NEXT: 105          +4      87.103440    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        771833856   -163074048
PREV: 107          +2      87.103456    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 771833856            0
NEXT: 108          +3      88.016263    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1265213440    493379584
NEXT: 109          +1      88.176616    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        934912000   -330301440
PREV: 112          +3      88.176642    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              934912000            0
NEXT: 113          +4      89.704808    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        773898240   -161013760
PREV: 115          +2      89.704823    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 773898240            0
NEXT: 116          +3      90.651699    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1265213440    491315200
NEXT: 117          +1      90.822306    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        936976384   -328237056
PREV: 120          +3      90.822330    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              936976384            0
NEXT: 121          +4      92.374453    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        778092544   -158883840
PREV: 123          +2      92.374471    C_CALL   tests/unit/test_with_pymemtrace.py 154 new_list_list_float                 778092544            0
NEXT: 124          +3      93.312438    C_RETURN tests/unit/test_with_pymemtrace.py 154 new_list_list_float                1269407744    491315200
NEXT: 125          +1      93.452133    C_CALL   tests/unit/test_with_pymemtrace.py 155 perf_counter                        941170688   -328237056
PREV: 128          +3      93.452164    C_RETURN tests/unit/test_with_pymemtrace.py 156 append                              941170688            0
NEXT: 129          +4      94.977564    C_CALL   tests/unit/test_with_pymemtrace.py 153 perf_counter                        787660800   -153509888
