      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1062.974419  CALL     tests/unit/test_with_pymemtrace.py#  22 _test_new_list_bool                 348995584    348995584
NEXT: 1            +1      1062.974446  CALL     /venv/lib/python3.12/site-packages/psutil/__init__.py# 318 __init__                            349016064        20480
NEXT: 2            +1      1062.974455  CALL     /venv/lib/python3.12/site-packages/psutil/__init__.py# 321 _init                               349020160         4096
NEXT: 3            +1      1062.974458  C_CALL   /venv/lib/python3.12/site-packages/psutil/__init__.py# 323 getpid                              349028352         8192
PREV: 5            +2      1062.974467  CALL     /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py  # 124 RLock                               349028352            0
NEXT: 6            +3      1062.974474  RETURN   /Library/Frameworks/Python.framework/Versions/3.12/lib/python3.12/threading.py  # 135 RLock                               349040640        12288
PREV: 7            +1      1062.974478  CALL     /venv/lib/python3.12/site-packages/psutil/_psosx.py# 366 __init__                            349040640            0
NEXT: 8            +2      1062.974480  RETURN   /venv/lib/python3.12/site-packages/psutil/_psosx.py# 369 __init__                            349044736         4096
PREV: 9            +1      1062.974487  CALL     /venv/lib/python3.12/site-packages/psutil/__init__.py# 751 create_time                         349044736            0
NEXT: 10           +2      1062.974491  CALL     /venv/lib/python3.12/site-packages/psutil/_psosx.py# 346 wrapper                             349057024        12288
PREV: 13           +3      1062.974500  CALL     /venv/lib/python3.12/site-packages/psutil/_common.py# 498 wrapper                             349057024            0
NEXT: 14           +4      1062.974504  CALL     /venv/lib/python3.12/site-packages/psutil/_psosx.py# 371 _get_kinfo_proc                     349061120         4096
PREV: 32           +18     1062.974549  CALL     /venv/lib/python3.12/site-packages/psutil/__init__.py#1098 memory_info                         349061120            0
NEXT: 33           +19     1062.974552  CALL     /venv/lib/python3.12/site-packages/psutil/_psosx.py# 346 wrapper                             349065216         4096
