      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      34.184668    CALL     tests/unit/test_with_pymemtrace.py 103 _test_new_list_bool                  35651584     35651584
PREV: 56           +56     34.184820    C_RETURN tests/unit/test_with_pymemtrace.py 107 print                                35651584            0
NEXT: 57           +57     34.463585    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         48283648     12632064
PREV: 59           +2      34.463601    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 48283648            0
NEXT: 60           +3      34.604764    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                212688896    164405248
PREV: 64           +4      34.613983    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              212688896            0
NEXT: 65           +5      34.897529    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         57192448   -155496448
PREV: 67           +2      34.897544    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 57192448            0
NEXT: 68           +3      35.036855    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                220270592    163078144
PREV: 72           +4      35.045022    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              220270592            0
NEXT: 73           +5      35.328031    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         64757760   -155512832
PREV: 75           +2      35.328046    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 64757760            0
NEXT: 76           +3      35.467627    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                229167104    164409344
PREV: 80           +4      35.476707    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              229167104            0
NEXT: 81           +5      35.758020    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         73781248   -155385856
PREV: 83           +2      35.758035    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 73781248            0
NEXT: 84           +3      35.898032    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                238170112    164388864
PREV: 88           +4      35.906479    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              238170112            0
NEXT: 89           +5      36.187292    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         82202624   -155967488
PREV: 91           +2      36.187349    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 82202624            0
NEXT: 92           +3      36.326235    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                245280768    163078144
PREV: 96           +4      36.334780    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              245280768            0
NEXT: 97           +5      36.614624    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         82198528   -163082240
PREV: 99           +2      36.614638    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 82198528            0
NEXT: 100          +3      36.755154    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                245276672    163078144
PREV: 104          +4      36.763342    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              245276672            0
NEXT: 105          +5      37.042027    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         82165760   -163110912
PREV: 107          +2      37.042040    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 82165760            0
NEXT: 108          +3      37.183448    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                246554624    164388864
PREV: 112          +4      37.194291    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              246554624            0
NEXT: 113          +5      37.474358    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         83542016   -163012608
PREV: 115          +2      37.474372    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 83542016            0
NEXT: 116          +3      37.613544    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                246620160    163078144
PREV: 120          +4      37.621988    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              246620160            0
NEXT: 121          +5      37.900576    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         76886016   -169734144
PREV: 123          +2      37.900588    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 76886016            0
NEXT: 124          +3      38.039896    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                239964160    163078144
PREV: 128          +4      38.048246    C_RETURN tests/unit/test_with_pymemtrace.py 114 append                              239964160            0
NEXT: 129          +5      38.328509    C_CALL   tests/unit/test_with_pymemtrace.py 111 perf_counter                         76886016   -163078144
PREV: 131          +2      38.328560    C_CALL   tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                 76886016            0
NEXT: 132          +3      38.468378    C_RETURN tests/unit/test_with_pymemtrace.py 112 new_list_vector_bool                241274880    164388864
PREV: 173          +41     38.475921    RETURN   tests/unit/test_with_pymemtrace.py 120 _test_new_list_bool                 241274880            0
NEXT: 174          +42     38.490236    C_CALL   tests/unit/test_with_pymemtrace.py 127 __exit__                            157388800    -83886080
