      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      1160.717490  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               217108480    217108480
NEXT: 1            +1      1160.717509  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               217116672         8192
NEXT: 2            +1      1160.717805  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               208728064     -8388608
PREV: 86096        +86094  1160.880236  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               208728064            0
NEXT: 86097        +86095  1160.880253  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               208732160         4096
NEXT: 86098        +1      1160.880674  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               200343552     -8388608
PREV: 111562       +25464  1160.929973  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               200343552            0
NEXT: 111563       +25465  1160.930019  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               200347648         4096
NEXT: 111564       +1      1160.930527  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               191959040     -8388608
PREV: 111858       +294    1160.931176  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               191959040            0
NEXT: 111859       +295    1160.931200  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               191967232         8192
NEXT: 111860       +1      1160.931681  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183578624     -8388608
PREV: 113110       +1250   1160.934387  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183578624            0
NEXT: 113111       +1251   1160.934432  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183586816         8192
PREV: 123436       +10325  1160.956741  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183586816            0
NEXT: 123437       +10326  1160.956776  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183595008         8192
PREV: 123584       +147    1160.957283  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183595008            0
NEXT: 123585       +148    1160.957309  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183599104         4096
PREV: 124766       +1181   1160.960577  C_CALL   tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183599104            0
NEXT: 124767       +1182   1160.960675  C_RETURN tests/unit/test_with_pymemtrace.py 405 new_list_vector_bytes               183603200         4096
