      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      1.927254     CALL     tests/unit/test_with_pymemtrace.py  26 _test_new_bytes                      61923328     61923328
PREV: 54           +54     1.927404     RETURN   venv/lib/python3.12/site-packages/psutil/_common.py 506 wrapper                              61923328            0
NEXT: 55           +55     2.177322     C_CALL   tests/unit/test_with_pymemtrace.py  32 perf_counter                       1135673344   1073750016
PREV: 57           +2      2.177339     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1135673344            0
NEXT: 58           +3      3.052911     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          1199984640     64311296
NEXT: 59           +1      3.081172     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                        685858816   -514125824
PREV: 65           +6      3.081273     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                           685961216         4096
NEXT: 66           +7      4.314405     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          1435262976    749301760
NEXT: 67           +1      4.333261     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                        864030720   -571232256
PREV: 73           +6      4.333301     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                           864051200         4096
NEXT: 74           +7      5.385023     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          1685544960    821493760
NEXT: 75           +1      5.405733     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                        862027776   -823517184
PREV: 81           +6      5.405790     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                           862085120         4096
NEXT: 82           +7      6.081944     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156195840   1294110720
NEXT: 83           +1      6.118987     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082454016  -1073741824
PREV: 89           +6      6.119025     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1082454016            0
NEXT: 90           +7      6.690150     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156199936   1073745920
NEXT: 91           +1      6.716809     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082454016  -1073745920
PREV: 97           +6      6.716850     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1082462208            0
NEXT: 98           +7      7.330775     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156208128   1073745920
NEXT: 99           +1      7.358894     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082462208  -1073745920
PREV: 105          +6      7.358919     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1082462208            0
NEXT: 106          +7      7.940007     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156208128   1073745920
NEXT: 107          +1      7.972241     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082462208  -1073745920
PREV: 113          +6      7.972284     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1082466304            0
NEXT: 114          +7      8.632302     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156212224   1073745920
NEXT: 115          +1      8.689560     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082466304  -1073745920
PREV: 121          +6      8.689594     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1082466304            0
NEXT: 122          +7      9.334659     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156208128   1073741824
NEXT: 123          +1      9.366459     C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082462208  -1073745920
PREV: 129          +6      9.366507     C_CALL   tests/unit/test_with_pymemtrace.py  33 new_bytes                          1082474496            0
NEXT: 130          +7      9.988282     C_RETURN tests/unit/test_with_pymemtrace.py  33 new_bytes                          2156220416   1073745920
NEXT: 131          +1      10.029423    C_CALL   tests/unit/test_with_pymemtrace.py  34 perf_counter                       1082474496  -1073745920
PREV: 136          +5      10.029631    C_RETURN tests/unit/test_with_pymemtrace.py  36 min                                1082552320        32768
NEXT: 137          +6      10.030108    C_CALL   tests/unit/test_with_pymemtrace.py  36 sum                                1082830848       278528
PREV: 143          +6      10.030156    C_CALL   tests/unit/test_with_pymemtrace.py  36 print                              1082871808        12288
NEXT: 144          +7      10.030274    C_RETURN tests/unit/test_with_pymemtrace.py  36 print                              1083015168       143360
PREV: 145          +1      10.030311    CALL     venv/lib/python3.12/site-packages/psutil/_common.py 498 wrapper                            1083060224        45056
NEXT: 146          +2      10.030389    CALL     venv/lib/python3.12/site-packages/psutil/__init__.py1098 memory_info                        1083166720       106496
PREV: 160          +14     10.030698    RETURN   venv/lib/python3.12/site-packages/psutil/_psosx.py 349 wrapper                            1083293696            0
NEXT: 161          +15     10.030748    CALL     <string>                                                                           1 <lambda>                           1083359232        65536
PREV: 171          +10     10.031035    RETURN   tests/unit/test_with_pymemtrace.py  38 _test_new_bytes                    1083420672            0
NEXT: 172          +11     10.084123    C_CALL   tests/unit/test_with_pymemtrace.py  45 __exit__                              9719808  -1073700864
