      Event        dEvent  Clock        What     File                                                                            line Function                                  RSS         dRSS
NEXT: 0            +0      1245.417809  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139268096    139268096
NEXT: 1            +1      1245.417829  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139276288         8192
PREV: 14564        +14563  1245.451001  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139276288            0
NEXT: 14565        +14564  1245.451024  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139284480         8192
PREV: 14712        +147    1245.451397  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139284480            0
NEXT: 14713        +148    1245.451411  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139288576         4096
PREV: 27980        +13267  1245.481507  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139288576            0
NEXT: 27981        +13268  1245.481525  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139296768         8192
PREV: 256072       +228091 1245.997253  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139296768            0
NEXT: 256073       +228092 1245.997308  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139304960         8192
PREV: 416956       +160883 1246.367550  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139304960            0
NEXT: 416957       +160884 1246.367614  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139313152         8192
PREV: 549036       +132079 1246.667727  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139313152            0
NEXT: 549037       +132080 1246.667837  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139321344         8192
PREV: 551050       +2013   1246.674060  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139321344            0
NEXT: 551051       +2014   1246.674121  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139329536         8192
PREV: 594855       +43804  1246.795437  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139329536            0
NEXT: 594856       +43805  1246.795441  C_CALL   tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    139313152       -16384
NEXT: 594857       +1      1246.795522  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    138870784      -442368
PREV: 594859       +2      1246.795529  C_RETURN tests/unit/test_with_pymemtrace.py 478 new_dict_from_std_unordered_map_bytes_bytes    138870784            0
