      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1600.364737  CALL     test_with_pymemtrace.py#  22 _test_new_list_bool                 343937024    343937024
NEXT: 1            +1      1600.364770  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 318 __init__                            343953408        16384
NEXT: 2            +1      1600.364808  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 321 _init                               343965696        12288
NEXT: 3            +1      1600.364837  C_CALL   cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 323 getpid                              343969792         4096
PREV: 4            +1      1600.364840  C_RETURN cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 323 getpid                              343969792            0
NEXT: 5            +2      1600.364876  CALL     /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py  #  90 RLock                               343982080        12288
NEXT: 6            +1      1600.364880  RETURN   /Library/Frameworks/Python.framework/Versions/3.11/lib/python3.11/threading.py  # 101 RLock                               343990272         8192
NEXT: 7            +1      1600.364888  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 366 __init__                            344002560        12288
PREV: 8            +1      1600.364890  RETURN   cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 369 __init__                            344002560            0
NEXT: 9            +2      1600.364897  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 751 create_time                         344006656         4096
NEXT: 10           +1      1600.364902  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 346 wrapper                             344010752         4096
PREV: 12           +2      1600.364906  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 346 wrapper                             344010752            0
NEXT: 13           +3      1600.364914  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_common.py# 498 wrapper                             344018944         8192
NEXT: 14           +1      1600.364923  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 371 _get_kinfo_proc                     344035328        16384
PREV: 16           +2      1600.364934  C_RETURN cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 375 proc_kinfo_oneshot                  344035328            0
NEXT: 17           +3      1600.364938  C_CALL   cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 376 len                                 344039424         4096
PREV: 28           +11     1600.364958  RETURN   cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 453 pid                                 344039424            0
NEXT: 29           +12     1600.364984  RETURN   cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py# 375 _init                               344043520         4096
PREV: 31           +2      1600.364989  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_common.py# 498 wrapper                             344043520            0
NEXT: 32           +3      1600.364993  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/__init__.py#1098 memory_info                         344047616         4096
PREV: 33           +1      1600.365014  CALL     cPyCppContainers_3.11/lib/python3.11/site-packages/psutil/_psosx.py# 346 wrapper                             344047616            0
