      Event        dEvent  Clock        What     File                                                                            #line Function                                  RSS         dRSS
NEXT: 0            +0      1646.817670  CALL     test_with_pymemtrace.py#  64 _test_new_list_double              1512091648   1512091648
PREV: 57           +57     1646.817835  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1512091648            0
NEXT: 58           +58     1648.117136  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         1728778240    216686592
PREV: 61           +3      1648.117164  C_CALL   test_with_pymemtrace.py#  73 new_list_list_float                1728778240            0
NEXT: 62           +4      1649.114264  C_RETURN test_with_pymemtrace.py#  73 new_list_list_float                2144829440    416051200
NEXT: 63           +1      1649.231675  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1808334848   -336494592
PREV: 67           +4      1649.231705  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1808334848            0
NEXT: 68           +5      1650.530396  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2065637376    257302528
NEXT: 69           +1      1650.645554  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1687576576   -378060800
PREV: 71           +2      1650.645568  C_CALL   test_with_pymemtrace.py#  73 new_list_list_float                1687576576            0
NEXT: 72           +3      1651.644444  C_RETURN test_with_pymemtrace.py#  73 new_list_list_float                2144829440    457252864
NEXT: 73           +1      1651.765848  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1850654720   -294174720
PREV: 77           +4      1651.765880  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1850654720            0
NEXT: 78           +5      1653.043163  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2065637376    214982656
NEXT: 79           +1      1653.150251  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1647321088   -418316288
PREV: 81           +2      1653.150264  C_CALL   test_with_pymemtrace.py#  73 new_list_list_float                1647321088            0
NEXT: 82           +3      1654.160282  C_RETURN test_with_pymemtrace.py#  73 new_list_list_float                2144829440    497508352
NEXT: 83           +1      1654.279590  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1810399232   -334430208
PREV: 87           +4      1654.279619  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1810399232            0
NEXT: 88           +5      1655.571518  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2065637376    255238144
NEXT: 89           +1      1655.687985  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1689640960   -375996416
PREV: 91           +2      1655.688004  C_CALL   test_with_pymemtrace.py#  73 new_list_list_float                1689640960            0
NEXT: 92           +3      1656.688033  C_RETURN test_with_pymemtrace.py#  73 new_list_list_float                2144829440    455188480
NEXT: 93           +1      1656.808259  C_CALL   test_with_pymemtrace.py#  74 perf_counter                       1852719104   -292110336
PREV: 97           +4      1656.808291  CALL     test_with_pymemtrace.py#  71 <listcomp>                         1852719104            0
NEXT: 98           +5      1658.096873  RETURN   test_with_pymemtrace.py#  71 <listcomp>                         2065637376    212918272
NEXT: 99           +1      1658.207960  C_CALL   test_with_pymemtrace.py#  72 perf_counter                       1649385472   -416251904
PREV: 101          +2      1658.207973  C_CALL   test_with_pymemtrace.py#  73 new_list_list_float                1649385472            0
